School Name,Address,Number,Type,MOEY Code,Email
Hopewell Primary,"Hopewell District, Watchwell P.A., St. Elizabeth",+1-876-499-4726,Primary,11033,hopewell.primary.seh@moey.gov.jm
Kilmarnock Primary,"Kilmarnock District, Kilmarnock P.A., St. Elizabeth",,Primary,11034,kilmarnock.primary.seh@moey.gov.jm
Lacovia Primary,"Lacovia P.O., St. Elizabeth",+1-876-966-6373,Primary,11035,lacovia.primary.seh@moey.gov.jm
Lalor Primary,"Marlborough District, Balaclava P.O., St. Elizabeth",+1-876-577-7291,Primary,11036,lalor.primary.seh@moey.gov.jm
Leeds Primary,"Leeds P.A., St. Elizabeth",+1-876-966-9864,Primary,11037,leeds.primary.seh@moey.gov.jm
Marie Cole Memorial Primary,"Burnt Ground District, Santa Cruz P.O., St. Elizabeth",+1-876-966-2708,Primary,11000,mariecolememorial.primary.seh@moey.gov.jm
Merrywood Primary,"Merrywood District, Ipswich P.O., St. Elizabeth",+1-876-531-2761,Primary,11040,merrywood.primary.seh@moey.gov.jm
Morningside Primary,"Morningside District, Junction P.O., St. Elizabeth",+1-876-607-9320,Primary,11042,morningside.primary.seh@moey.gov.jm
Mount Osborn Primary,"Leeds P.A., St. Elizabeth",+1-876-966-3945,Primary,11044,mountosborn.primary.seh@moey.gov.jm
Mountainside Primary,"Mountainside P.O., St. Elizabeth",+1-876-335-4740,Primary,11043,mountainside.primary.seh@moey.gov.jm
Mulgrave Primary,"Mulgrave P.A., St. Elizabeth",+1-876-893-0903,Primary,11045,mulgrave.primary.seh@moey.gov.jm
Newcombe Valley Primary,"Newcombe Valley, Watchwell P.A., St. Elizabeth",+1-876-812-7554,Primary,11047,newcombevalley.primary.seh@moey.gov.jm
Newton Primary,"Newton District, Newton P.A., St. Elizabeth",+1-876-572-9724,Primary,11048,newton.primary.seh@moey.gov.jm
Nightingale Grove Primary,"Nightingale Grove, New Market P.O., St. Elizabeth",+1-876-426-9435,Primary,11049,nightingalegrove.primary.seh@moey.gov.jm
Park Mountain Primary,"Park Mountain, P.O. Box 692, Santa Cruz, St. Elizabeth",+1-876-966-4510,Primary,11050,parkmountain.primary.seh@moey.gov.jm
Parottee Primary,"Parottee District, Parottee P.O., St. Elizabeth",+1-876-513-0212,Primary,11051,parottee.primary.seh@moey.gov.jm
Pedro Plains Primary,"Treasure Beach P.O., St. Elizabeth",+1-876-965-0188,Primary,11052,pedroplains.primary.seh@moey.gov.jm
Pepper Primary,"Pepper P.O., St. Elizabeth",+1-876-931-1700,Primary,11053,pepper.primary.seh@moey.gov.jm
Pisgah Primary,"Pisgah District, Pisgah P.A., St. Elizabeth",+1-876-505-2957,Primary,11054,pisgah.allage.seh@moey.gov.jm
Pondside Primary,"Pondside District, Black River P.O., St. Elizabeth",+1-876-855-5275,Primary,11055,pondside.allage.seh@moey.gov.jm
Quickstep Primary,"Quickstep Village, Quickstep P.A., St. Elizabeth",+1-876-593-8283,Primary,11056,quickstep.allage.seh@moey.gov.jm
Red Bank Primary,"Red Bank District, Red Bank P.A, St. Elizabeth",+1-876-366-0628,Primary,11057,redbank.primary.seh@moey.gov.jm
Retirement Primary,"Retirement P.A., St. Elizabeth",,Primary,11058,retirement.primary.seh@moey.gov.jm
Rose Hall Primary,"Rose Hall District, Rose Hall P.O., St. Elizabeth",+1-876-292-2252,Primary,11059,rosehall.allage.seh@moey.gov.jm
Roses Valley Primary,"Roses Valley District, Roses Valley P.A., St. Elizabeth",+1-876-887-9211,Primary,11060,rosesvalley.primary.seh@moey.gov.jm
Russells Primary,"Russells District, Myersville P.O., St. Elizabeth",+1-876-825-8485,Primary,11061,russells.primary.seh@moey.gov.jm
Sandy Bank Primary,"Sandy Bank District, Calabash Bay P.A., St. Elizabeth",+1-876-965-3386,Primary,11064,sandybank.primary.seh@moey.gov.jm
Schoolfield Primary and Infant,"Schoolfield P.A., St. Elizabeth",+1-876-818-6406,Primary,11066,schoolfield.primary.seh@moey.gov.jm
Seaview Primary and Infant,"Southfield District, Southfield P.O., St. Elizabeth",+1-876-965-6387,Primary,11073,seaview.primary.seh@moey.gov.jm
Siloah Primary,"Siloah District, Siloah P.A., St. Elizabeth",+1-876-963-9376,Primary,11067,siloah.primary.seh@moey.gov.jm
Slipe Leased Primary and Infant,"Slipe District, Slipe P.A, St. Elizabeth",+1-876-578-3784,Primary,11068,slipeleased.primary.seh@moey.gov.jm
St. Albans Primary,"Stanmore District, Malvern P.O., St. Elizabeth",+1-876-269-1656,Primary,11062,stalbans.primary.seh@moey.gov.jm
St. Marys Primary,"St. Marys District, Munro College P.O., St. Elizabeth",+1-876-812-5949,Primary,11063,stmary.primary.seh@moey.gov.jm
Thornton Primary and Infant,"Thornton District, Thornton P.A., St. Elizabeth",+1-876-607-3797,Primary,11070,thornton.primary.seh@moey.gov.jm
Top Hill Primary,"Top Hill District, Top Hill P.O., St. Elizabeth",+1-876-963-1514,Primary,11071,tophill.primary.seh@moey.gov.jm
Warminster Primary,"Warminster District, Myersville P.O., St. Elizabeth",+1-876-324-3866,Primary,11101,warminster.primary.seh@moey.gov.jm
White Hill Primary,"White Hill District, Maggotty P.O., St. Elizabeth",+1-876-966-4282,Primary,11072,whitehill.primary.seh@moey.gov.jm
Bethlehem All Age and Infant,"Malvern District, Malvern P.O., St. Elizabeth",+1-876-966-5194,All Age,11009,bethlehem.allage.seh@moey.gov.jm
Giddy Hall All Age,"Giddy Hall District, Giddy Hall P.O., St. Elizabeth",+1-876-391-0922,All Age,11027,giddyhall.allage.seh@moey.gov.jm
Ginger Hill All Age,"Ginger Hill P.O., St. Elizabeth",+1-876-775-3567,All Age,11028,gingerhill.allage.seh@moey.gov.jm
Goshen All Age,"Goshen District, Goshen P.A., St. Elizabeth",+1-876-781-6567,All Age,11089,goshen.allage.seh@moey.gov.jm
Lititz All Age and Infant,"Watson Hill P.O., St. Elizabeth",+1-876-963-6712,All Age,11038,lititz.allage.seh@moey.gov.jm
Mayfield All Age,"Southfield P.O., St. Elizabeth",+1-876-965-6021,All Age,11039,mayfield.allage.seh@moey.gov.jm
Middle Quarters All Age,"Middle Quarters District, Middle Quarters P.O., St. Elizabeth",+1-876-899-1323,All Age,11041,middlequarters.allage.seh@moey.gov.jm
Springfield All Age,"Springfield P.O., St. Elizabeth",+1-876-775-7195,All Age,11069,springfield.allage.seh@moey.gov.jm
Elderslie Primary & Junior High,"Elderslie District, Elderslie P.O., St. Elizabeth",+1-876-334-7770,Primary & Junior High,11021,elderslie.primary.seh@moey.gov.jm
Santa Cruz Primary & Junior High,"47 Coke Drive, Santa Cruz, St. Elizabeth",+1-876-966-2986,Primary & Junior High,11065,santacruz.primary.seh@moey.gov.jm
Aberdeen High,"Aberdeen District, Aberdeen P.O., St. Elizabeth",+1-876-607-2616,Primary & Junior High,11001,aberdeen.primary.seh@moey.gov.jm
B. B. Coke High,"Junction P.O., St. Elizabeth",+1-876-965-8635,Primary & Junior High,11108,bbcoke.high.seh@moey.gov.jm
Black River High,"Black River, Black River P.O., St. Elizabeth",+1-876-965-2753,Primary & Junior High,11104,blackriver.high.seh@moey.gov.jm
Hampton School,"Malvern P.O., St. Elizabeth",+1-876-966-5161,Primary & Junior High,11074,hamptonschool.high.seh@moey.gov.jm
Lacovia High,"P.O. Box 6, Lacovia, St. Elizabeth",+1-876-966-6713,Primary & Junior High,11106,lacovia.high.seh@moey.gov.jm
Lewisville High,"PO Box 56, New Market, St. Elizabeth",+1-876-361-0576,Primary & Junior High,11112,lewisville.high.seh@moey.gov.jm
Maggotty High,"Maggotty, Maggotty P.O., St. Elizabeth",+1-876-997-2900,Primary & Junior High,11109,maggotty.high.seh@moey.gov.jm
Munro College,"Potsdam District, Munro College P.O., St. Elizabeth",+1-876-963-1402,Primary & Junior High,11075,munro.college.seh@moey.gov.jm
Nain High,"Nain P.O., St. Elizabeth",+1-876-963-6198,Primary & Junior High,11046,nain.primary.seh@moey.gov.jm
Newell High,"Newell District, Watchwell P.A., St. Elizabeth",+1-876-965-0663,Primary & Junior High,11105,newell.high.seh@moey.gov.jm
Roger Clarke High,"Balaclava, Balaclava P.O., St. Elizabeth",+1-876-963-2223,Primary & Junior High,11110,balaclava.high.seh@moey.gov.jm
St. Elizabeth Technical High,"90 Main Street, P.O. Box 645, Santa Cruz, St. Elizabeth",+1-876-966-9802,Technical High,11087,stethsadmin@cwjamaica.com
Sydney Pagon Agricultural High,"Elim District, Brae's River P.O., St. Elizabeth",+1-876-995-4048,Agricultural High,11088,sydneypagon.agricultural.seh@moey.gov.jm
Bethlehem Moravian College,"Malvern,  Jamaica W.I., St. Elizabeth",+1-876-966-5293,Tertiary,11990,bethlehem@bmc.edu.jm
Black River Preparatory,"40 Central Road, Black River, St. Elizabeth",+1-876-634-3695,Kindergarten & Preparatory,11424,blackriverprep@yahoo.com
Bull Savannah Preparatory,"Bull Savannah P.O., St. Elizabeth",+1-876-429-2455,Kindergarten & Preparatory,11400,bullsavannah_prepschool@yahoo.com
Genesis Christian Academy,"Pepper P.O., St. Elizabeth",,Kindergarten & Preparatory,11413,agenesischristian@yahoo.com
Great Start Academy,"Market Street, Junction P.O, St. Elizabeth",+1-876-965-8100,Kindergarten & Preparatory,11439,sheronbent@yahoo.com
Hopewell Preparatory,"56 Coke Drive, Santa Cruz P.O., St. Elizabeth",+1-876-966-2610,Kindergarten & Preparatory,11429,hopewelleci_prep@yahoo.com
Jointwood S.D.A Preparatory,"Jointwood, Elderslie P.O., St. Elizabeth",+1-876-897-9133,Kindergarten & Preparatory,11401,
Junction Kinder-prep and Child Care Academy,"Market Street, Junction P.O, St. Elizabeth",+1-876-420-6461,Kindergarten & Preparatory,11440,staceyannmcturner@yahoo.com
Kayan Preparatory,"Waterloo District, Santa Cruz, St. Elizabeth",+1-876-966-2761,Kindergarten & Preparatory,11412,
Munro Preparatory,"Munro College P.O., Potsdam, St. Elizabeth",+1-876-963-1580,Kindergarten & Preparatory,11402,munro.prep@gmail.com
New Market Prep,"New Market P.O., St. Elizabeth",+1-876-361-7798,Kindergarten & Preparatory,11431,newmarketprep@yahoo.com
Roseville Play and Learn,"10 Retirement Road, Santa Cruz P.O., St. Elizabeth",+1-876-533-9476,Kindergarten & Preparatory,11434,rosevilleeiandprep@gmail.com
Santa Cruz Preparatory,"PO Box 718, Santa Cruz, St. Elizabeth",+1-876-966-2153,Kindergarten & Preparatory,11403,santa_prep718@yahoo.com
St. Elmo's Preparatory,"147 Main Street, Santa Cruz, St. Elizabeth",+1-876-966-4204,Kindergarten & Preparatory,11419,stelmosprep@gmail.com
Wilanel Preparatory,"Lacovia P.O., St. Elizabeth",,Kindergarten & Preparatory,11428,
Wilmor Preparatory,"9 Institution Drive, Santa Cruz, St. Elizabeth",+1-876-863-6069,Kindergarten & Preparatory,11404,wilmorprep@hotmail.com
Caribbean Centre for Change,"Calabash Bay P.A., St. Elizabeth",+1-876-965-0003,Secondary High,11411,academics@tranquility.org
Goshen Academy,"Pepper P.O., St. Elizabeth",+1-876-607-5082,Secondary High,11432,
School of Excellence,"56 Main Street, Santa Cruz, St. Elizabeth",+1-876-754-4705,Secondary High,11435,
St. Vincent Strambi Catholic High,"Bull Savannah P.O., St. Elizabeth",+1-876-607-8016,Secondary High,11410,stvincentstrambi@hotmail.com
Bryan's Nursing Academy,"Caledonia Mall, Caledonia Road Mandeville P.O., Santa Cruz, St. Elizabeth",+1-876-434-8258,Post Secondary,11420,
St. Elizabeth Training Institute,"29 Main Street, Santa Cruz, St. Elizabeth",,Post Secondary,11438,
Junction Academic Institute of,"Junction P.O., St. Elizabeth",,Post Secondary,11427,
Malvern Computer Learning,"Malvern P.O., St. Elizabeth",,Excellence,11422,
Sheila's Professional Education Centre (SPEC),"New House, Rose Hall, St. Elizabeth",,Excellence,11436,
South East College,"Junction P.O., St. Elizabeth",,Excellence,11437,
The Education Centre,"11 Arc Manifest Plaza, Santa Cruz, St. Elizabeth",,Excellence,11414,
Wintec Pre-University,"1 Church Street, Black River, St. Elizabeth",,Excellence,11423,
Maranatha School for the Deaf,"Top Hill, St. Elizabeth",+1-876-965-1738,Special,11302,
